Date,Open,High,Low,Close,Adj Close,Volume
2023-01-23,41.310001,42.830002,40.970001,41.560001,41.560001,15356200
2023-01-24,41.590000,41.930000,40.270000,41.029999,41.029999,11209500
2023-01-25,40.980000,42.310001,40.349998,41.919998,41.919998,7655500
2023-01-26,42.250000,42.939999,42.080002,42.340000,42.340000,9836900
2023-01-27,42.930000,43.790001,41.610001,41.790001,41.790001,10644000
2023-01-30,41.849998,42.009998,41.020000,41.500000,41.500000,5871900
2023-01-31,41.290001,42.700001,40.959999,42.099998,42.099998,8640600
2023-02-01,42.230000,42.389999,40.549999,41.099998,41.099998,11182600
2023-02-02,40.689999,41.759998,39.560001,40.049999,40.049999,8603300
2023-02-03,40.299999,41.410000,39.650002,40.169998,40.169998,9046000
2023-02-06,40.189999,41.389999,40.119999,41.200001,41.200001,8921200
2023-02-07,41.650002,41.869999,40.900002,41.630001,41.630001,8076600
2023-02-08,41.799999,42.570000,41.439999,42.549999,42.549999,8021200
2023-02-09,42.540001,42.639999,41.740002,41.959999,41.959999,6964700
2023-02-10,42.299999,43.169998,42.160000,42.750000,42.750000,9761600
2023-02-13,42.599998,42.900002,41.740002,42.040001,42.040001,7641300
2023-02-14,41.799999,41.970001,40.400002,40.860001,40.860001,10415700
2023-02-15,40.610001,41.279999,40.250000,40.900002,40.900002,8562200
2023-02-16,40.360001,41.020000,39.919998,40.250000,40.250000,8065700
2023-02-17,39.689999,39.959999,37.980000,38.209999,38.209999,14636700
2023-02-22,37.680000,37.680000,36.570000,37.599998,37.599998,8947600
2023-02-23,37.740002,38.689999,37.000000,37.470001,37.470001,13669800
2023-02-24,37.790001,38.250000,37.110001,37.599998,37.599998,7194800
2023-02-27,37.599998,37.970001,36.849998,37.020000,37.020000,11174800
2023-02-28,36.939999,37.259998,33.700001,33.700001,33.700001,43307300
2023-03-01,33.270000,33.959999,31.440001,33.380001,33.380001,42641800
2023-03-02,33.650002,35.330002,33.500000,33.959999,33.959999,30384000
2023-03-03,34.230000,35.119999,33.820000,34.709999,34.709999,15490400
2023-03-06,34.599998,34.939999,33.689999,34.630001,34.630001,10023800
2023-03-07,34.630001,34.790001,32.619999,33.590000,33.590000,15378500
2023-03-08,33.590000,34.950001,33.279999,34.470001,34.470001,14658100
2023-03-09,34.380001,34.529999,33.299999,33.430000,33.430000,16019300
2023-03-10,33.139999,33.500000,32.799999,33.209999,33.209999,17321800
2023-03-13,32.060001,32.709999,31.450001,31.770000,31.770000,20355100
2023-03-14,31.700001,32.880001,31.670000,32.209999,32.209999,12908700
2023-03-15,31.799999,31.799999,30.260000,31.150000,31.150000,16944100
2023-03-16,31.190001,31.990000,30.500000,31.700001,31.700001,26033300
2023-03-17,31.469999,31.830000,31.049999,31.370001,31.370001,16423300
2023-03-20,31.299999,31.730000,30.680000,30.990000,30.990000,8131500
2023-03-21,31.160000,31.889999,31.049999,31.719999,31.719999,9956600
2023-03-22,31.860001,32.189999,31.100000,31.350000,31.350000,9634700
2023-03-23,31.530001,31.730000,29.350000,29.930000,29.930000,13121700
